# Active MLB Players - 673 total
# Format: Player Name | FanGraphs ID

César Salazar | 21587
Kenedy Corona | 26244
Austin Slater | 16153
Hayden Senger | 21489
Griffin Conine | 21626
Gustavo Campero | 22707
Akil Baddoo | 22168
Luis Rengifo | 19858
Omar Narváez | 13338
Tim Tawa | 29571
Kyle Karros | 33252
Tyler Black | 29949
Stuart Fairchild | 20321
Will Benson | 21853
David Bañuelos | 23250
Colby Thomas | 31855
Justyn-Henry Malloy | 29606
Ali Sánchez | 18551
Jhostynxon Garcia | 28142
Rafael Flores Jr. | 31991
Rob Brantly | 10655
Billy Cook | 29573
Sam Hilliard | 17954
Jack Leiter | 30146
Colin Rea | 12317
Tyler Alexander | 17735
Shinnosuke Ogasawara | 35324
Bryan Ramos | 25621
Ezequiel Duran | 23733
Justin Dean | 25005
Trevor Rogers | 22286
Dom Nuñez | 15055
Matt Vierling | 21558
Terrin Vavra | 24400
Jared Young | 20404
Tucker Barnhart | 10200
Greg Jones | 25448
Keston Hiura | 20003
Corey Julks | 20311
Agustín Ramírez | 26546
Alejandro Osuna | 27915
Adrian Del Castillo | 29554
Garrett Stubbs | 18067
Travis Jankowski | 13768
Mitch Garver | 15161
Donovan Solano | 8623
Chuckie Robinson | 19824
Coco Montes | 21547
Mason McCoy | 22232
Michael Stefanic | 25353
Dane Myers | 22054
Luis Guillorme | 16451
Harry Ford | 29958
Nick Yorke | 27504
Dustin Harris | 25705
Rhylan Thomas | 31793
Chadwick Tromp | 16953
Alan Roden | 31564
Dairon Blanco | 19779
Jake Burger | 22275
C.J. Stubbs | 25814
Jonathan Ornelas | 24597
Michael A. Taylor | 11489
Drew Romo | 27763
Nick Ahmed | 12147
Willie MacIver | 24641
Aramis Garcia | 16925
Justin Foscue | 27501
Masataka Yoshida | 31837
Cal Stevenson | 22411
David Villar | 24782
Michael Siani | 22557
Eddie Rosario | 12155
Jesse Winker | 13590
Jacob Hurtubise | 27599
Henry Davis | 29617
Blaine Crim | 25714
José Azocar | 18821
Sandy León | 5273
Dalton Rushing | 31382
Jordyn Adams | 23788
Dylan Moore | 18042
Christopher Morel | 21897
Brett Wisely | 27735
Samad Taylor | 22274
Will Brennan | 25660
Daniel Johnson | 19643
Chas McCormick | 19599
Josh Lowe | 19953
Andrew McCutchen | 9847
Tyler Callihan | 27497
Darell Hernaiz | 26224
Gary Sánchez | 11442
Maximo Acosta | 27963
Jake McCarthy | 21622
Sergio Alcántara | 16417
Nick Sogard | 25483
JJ Bleday | 26368
Nick Maton | 21635
Tsung-Che Cheng | 28344
Donovan Walton | 19314
César Prieto | 30163
Angel Martínez | 26540
Daz Cameron | 18353
Manuel Margot | 14712
Enrique Hernández | 10472
Carter Kieboom | 19958
Jack Winkler | 29830
Jon Singleton | 10441
Connor Kaiser | 21535
Taylor Trammell | 19960
Edgar Quero | 28022
Bryce Eldridge | 33390
Brooks Baldwin | 31394
Cooper Hummel | 19458
Sam Huff | 22209
Ryan Vilade | 22165
Will Banfield | 23790
Kristian Campbell | 33644
Billy McKinney | 15654
Nolan Gorman | 22263
Tirso Ornelas | 22566
J.D. Davis | 16219
Anthony Seigler | 23802
Otto Kemp | 31792
Sebastián Rivero | 21735
Victor Robles | 18363
Gage Workman | 27573
Luis Matos | 26467
Jose Iglesias | 10231
Cavan Biggio | 19252
Luis Vázquez | 23442
Wilmer Flores | 5827
José Barrero | 23378
Blake Sabol | 25805
Ji Hwan Bae | 23818
Garrett Hampson | 19262
Jorbit Vivas | 23917
Will Wagner | 29634
Samuel Basallo | 28824
Thairo Estrada | 16426
Jonathan India | 21523
Nicky Lopez | 19339
CJ Alexander | 20557
Matthew Lugo | 25980
Brady House | 29993
Austin Barnes | 12158
Jorge Alfaro | 12180
Jonatan Clase | 26599
Leo Jiménez | 23782
Zack Gelof | 29766
Cole Young | 31680
Cody Freeman | 25629
Jose Herrera | 17040
Matt Gorski | 25855
Drew Avans | 25183
Justin Turner | 5235
Emmanuel Rivera | 19890
Jacob Melton | 31661
Jace Jung | 31437
Carson Williams | 30038
Kevin Pillar | 12434
Oliver Dunn | 26295
Travis d'Arnaud | 7739
Zac Veen | 27770
Tristin English | 26148
Brendan Rodgers | 17907
Aaron Schunk | 25524
Santiago Espinal | 19997
Tyler Wade | 15730
Scott Kingery | 17975
Jorge Soler | 14221
Shay Whitcomb | 27789
Greg Allen | 16623
Bob Seymour | 30028
Oscar Gonzalez | 20970
Tyler O'Neill | 15711
Nathaniel Lowe | 19566
Nick Solak | 19294
Luis Campusano | 22217
Alan Trejo | 20056
Chris Taylor | 13757
Dylan Carlson | 20126
Gio Urshela | 10681
Grant McCray | 25690
Seth Brown | 18171
